Date,Close,Volume,Open,High,Low
9/6/2024,540.36,68493810,549.94,551.6,539.44
9/5/2024,549.61,44264260,550.89,553.7995,547.1
9/4/2024,550.95,47224940,550.2,554.43,549.46
9/3/2024,552.08,60600110,560.47,560.81,549.51
8/30/2024,563.68,62700110,560.77,564.2,557.14
8/29/2024,558.35,38715180,560.31,563.68,557.18
8/28/2024,558.3,41066020,561.21,561.65,555.04
8/27/2024,561.56,32693900,559.49,562.06,558.32
8/26/2024,560.79,35788610,563.18,563.91,559.05
8/23/2024,562.13,50639390,559.53,563.09,557.29
8/22/2024,556.22,56121460,562.56,563.18,554.98
8/21/2024,560.62,41514600,559.77,562.11,554.73
8/20/2024,558.7,33732260,559.15,560.84,557.325
8/19/2024,559.61,39121790,554.73,559.61,553.86
8/16/2024,554.31,44430730,551.42,555.02,551.26
8/15/2024,553.07,60846810,549.5,553.36,548.88
8/14/2024,543.75,42446930,542.85,544.96,540.12
8/13/2024,542.04,52333070,536.53,542.28,536.28
8/12/2024,533.27,42542070,534.21,535.73,530.95
8/9/2024,532.99,45619560,529.81,534.51,528.56
8/8/2024,530.65,63276590,523.91,531.29,521.84
8/7/2024,518.66,70698340,528.47,531.59,518.0519
8/6/2024,522.15,84826310,519.22,529.75,517.87
8/5/2024,517.38,146267400,511.64,523.58,510.27
8/2/2024,532.9,82789070,535.75,536.99,528.6
8/1/2024,543.01,76428730,552.57,554.8688,539.43
7/31/2024,550.81,65663390,548.98,553.5,547.5799
7/30/2024,542,46853630,546.26,547.34,538.515
7/29/2024,544.76,39515820,546.02,547.05,542.72
7/26/2024,544.44,53763790,542.28,547.19,541.49
7/25/2024,538.41,61158290,541.35,547.455,537.45
7/24/2024,541.23,74515270,548.86,549.17,540.29
7/23/2024,553.78,34439560,554.54,556.735,553.275
7/22/2024,554.65,43346720,553,555.27,551.02
7/19/2024,548.99,65509080,552.42,554.08,547.91
7/18/2024,552.66,56270390,558.51,559.52,550.43
7/17/2024,556.94,57118960,558.8,560.51,556.61
7/16/2024,564.86,36475260,562.865,565.16,562.1
7/15/2024,561.53,40584290,562.03,564.8371,559.63
